	Country 	UCI Team 	UCI Cat 	Rider 	Born 	Price 	Prev 	Score ↓
313. 	USA 	EFD 	WT 	Joe Dombrowski 	1991 	1 	10 	130
314. 	RUS 	GAZ 	PROF 	Ivan Rovny 	1987 	1 	0 	130
315. 	ITA 	WIL 	PROF 	Simone Velasco 	1995 	1 	0 	130
316. 	BEL 	DDD 	WT 	Julien Vermote 	1989 	2 	115 	125
317. 	DEN 	HBA 	PROF 	Mikkel Bjerg 	1998 	1 	70 	125
318. 	DEN 	QST 	WT 	Michael Mørkøv 	1985 	1 	60 	125
319. 	POL 	CCC 	PROF 	Pawel Bernas 	1990 	1 	0 	125
320. 	RUS 	TKA 	WT 	Dmitry Strakhov 	1995 	1 	50 	122
321. 	FRA 	EFD 	WT 	Pierre Rolland 	1986 	2 	310 	120
322. 	BEL 	QST 	WT 	Dries Devenyns 	1983 	4 	146 	120
323. 	FRA 	SKY 	WT 	Kenny Elissonde 	1991 	1 	100 	120
324. 	RUS 	GAZ 	PROF 	Ildar Arslanov 	1994 	1 	60 	120
325. 	ESP 	MOV 	WT 	Ruben Fernandez 	1991 	1 	42 	120
326. 	SLO 	TBM 	WT 	Grega Bole 	1985 	1 	30 	120
327. 	SUI 	DSU 	CONT 	Marc Hirschi 	1998 	1 	0 	120
328. 	GER 	BOH 	WT 	Christoph Pfingsten 	1992 	1 	0 	120
329. 	CZE 	ELA 	CONT 	Jan Barta 	1984 	2 	260 	116
330. 	FRA 	AUB 	CONT 	Kevin Le Cunff 	1988 	1 	30 	115
331. 	NZL 	MTS 	WT 	Jack Bauer 	1985 	1 	100 	114
332. 	ITA 	DMP 	PROF 	Mauro Finetto 	1985 	2 	250 	110
333. 	BEL 	DDD 	WT 	Serge Pauwels 	1983 	2 	240 	110
334. 	EST 	BRT 	CONT 	Aksel Nommela 	1994 	1 	160 	110
335. 	ESP 	DDD 	WT 	Igor Anton 	1983 	1 	50 	110
336. 	AUS 	DMP 	PROF 	Brenton Jones 	1991 	1 	30 	110
