Rider ID,Country,UCI Team 2012,Rider Name,Price 2012,Score 2012,Gender,Born,Age 2012,UCI Team 2013,Price 2013,Score 2013,Age 2013,UCI Team 2014,Price 2014,Score 2014,Age 2014,UCI Team 2015,Price 2015,Score 2015,Age 2015,UCI Team 2016,Price 2016,Score 2016,Age 2016,UCI Team 2017,Price 2017,Score 2017,Age 2017,UCI Team 2018,Price 2018,Score 2018,Age 2018,UCI Team 2019,Price 2019,Score 2019,Age 2019,UCI Team 2020,Price 2020,Score 2020,Age 2020
3528,ITA,,Elena Bissolati,,,Women,1997.0,,,,,,,,,,,,,,BPK,1.0,0.0,19.0,,,,,,,,,,,,,,,,
3523,ITA,,Alessia Bulleri,,,Women,1993.0,,,,,,,,,,,,,,VAI,1.0,0.0,23.0,VAI,1.0,0.0,24.0,VAI,1.0,0.0,25.0,EIC,1.0,0.0,26.0,EIC,1.0,0.0,27.0
3525,ITA,,Anna Ceolini,,,Women,1991.0,,,,,,,,,,,,,,SEF,1.0,0.0,25.0,MIC,1.0,40.0,26.0,MIC,1.0,0.0,27.0,XYZ,1.0,0.0,28.0,,,,
3519,ITA,,Sofia Cilenti,,,Women,1995.0,,,,,,,,,,,,,,SEF,1.0,0.0,21.0,,,,,CZF,1.0,0.0,23.0,CZF,1.0,0.0,24.0,XYZ,1.0,0.0,25.0
3530,USA,,Cheryl Clark,,,Women,1986.0,,,,,,,,,,,,,,TIB,1.0,0.0,30.0,,,,,,,,,,,,,,,,
3483,GBR,,Alice Cobb,,,Women,1995.0,,,,,,,,,,,,,,MAT,1.0,0.0,21.0,LWD,1.0,0.0,22.0,TIB,1.0,0.0,23.0,TIB,1.0,0.0,24.0,CMW,1.0,0.0,25.0
3463,IRL,,Lauren Creamer,,,Women,1992.0,,,,,,,,,,,,,,PAC,1.0,0.0,24.0,,,,,,,,,,,,,,,,
3476,RSA,,Heidi Dalton,,,Women,1995.0,,,,,,,,,,,,,,BPD,1.0,0.0,21.0,VAI,1.0,0.0,22.0,VAI,1.0,0.0,23.0,XYZ,1.0,0.0,24.0,,,,
3529,ITA,,Manuela De Iuliis,,,Women,1991.0,,,,,,,,,,,,,,MIC,1.0,0.0,25.0,,,,,,,,,,,,,,,,
3477,BEL,,Pia De Quint,,,Women,1988.0,,,,,,,,,,,,,,LWW,1.0,0.0,28.0,,,,,,,,,,,,,,,,
3482,GER,,Julia Deurlein,,,Women,1990.0,,,,,,,,,,,,,,NOE,1.0,0.0,26.0,,,,,,,,,,,,,,,,
3487,BEL,,Lenny Druyts,,,Women,1997.0,,,,,,,,,,,,,,VLL,1.0,0.0,19.0,SVE,1.0,0.0,20.0,EXP,1.0,0.0,21.0,DVE,1.0,0.0,22.0,CCT,1.0,0.0,23.0
3535,SLO,,Tanja Elsner,,,Women,1993.0,,,,,,,,,,,,,,BTC,1.0,0.0,23.0,BTC,1.0,0.0,24.0,BTC,1.0,0.0,25.0,XYZ,1.0,0.0,26.0,,,,
3532,ESP,,Empar Felix Tur,,,Women,1997.0,,,,,,,,,,,,,,LTK,1.0,0.0,19.0,LTK,1.0,0.0,20.0,XYZ,1.0,0.0,21.0,,,,,,,,
3500,ESP,,Maria Fernandez Calderon,,,Women,1997.0,,,,,,,,,,,,,,LTK,1.0,0.0,19.0,,,,,,,,,,,,,,,,
3502,ESP,,Rocio del Alba Garcia Martinez,,,Women,1997.0,,,,,,,,,,,,,,LTK,1.0,0.0,19.0,,,,,,,,,,,,,,,,
3474,GBR,,Grace Garner,,,Women,1997.0,,,,,,,,,,,,,,PAC,1.0,0.0,19.0,WHT,1.0,0.0,20.0,WHT,1.0,0.0,21.0,HPU,1.0,0.0,22.0,CAT,1.0,0.0,23.0
3494,ITA,,Alice Gasparini,,,Women,1997.0,,,,,,,,,,,,,,SEF,1.0,0.0,19.0,SER,1.0,0.0,20.0,SBT,1.0,0.0,21.0,SBT,1.0,0.0,22.0,SBT,1.0,0.0,23.0
3505,KAZ,,Nedezda Geneleva,,,Women,1997.0,,,,,,,,,,,,,,ASA,1.0,0.0,19.0,ASA,1.0,100.0,20.0,XYZ,1.0,0.0,21.0,XYZ,1.0,0.0,22.0,,,,
3527,KAZ,,Tatyana Geneleva,,,Women,1997.0,,,,,,,,,,,,,,ASA,1.0,0.0,19.0,,,,,,,,,,,,,,,,
3479,GBR,,Amy Gornall,,,Women,1996.0,,,,,,,,,,,,,,PAC,1.0,0.0,20.0,,,,,,,,,,,,,,,,
3485,FRA,,Victorie Guilman,,,Women,1995.0,,,,,,,,,,,,,,FUT,1.0,0.0,21.0,FDJ,1.0,0.0,22.0,FDJ,1.0,0.0,23.0,FDJ,1.0,0.0,24.0,FDJ,1.0,0.0,25.0
3466,NOR,,Janicke Gunvaldsen,,,Women,1981.0,,,,,,,,,,,,,,HPU,1.0,0.0,35.0,,,,,,,,,,,,,,,,
3531,GBR,,Ejay Harris,,,Women,1998.0,,,,,,,,,,,,,,PAC,1.0,0.0,18.0,,,,,,,,,,,,,,,,
3481,GBR,,Bethany Hayward,,,Women,1996.0,,,,,,,,,,,,,,PAC,1.0,0.0,20.0,,,,,,,,,,,,,,,,
3469,USA,,Sarah Headley,,,Women,1995.0,,,,,,,,,,,,,,PAC,1.0,0.0,21.0,,,,,,,,,,,,,,,,
3536,ESP,,Erati Idirin Egana,,,Women,1995.0,,,,,,,,,,,,,,BPD,1.0,0.0,21.0,BDP,1.0,0.0,22.0,BDM,1.0,0.0,23.0,XYZ,1.0,0.0,24.0,,,,
3464,BEL,,Sarah Inghelbrecht,,,Women,1992.0,,,,,,,,,,,,,,LWW,1.0,0.0,24.0,LWD,1.0,40.0,25.0,DVE,1.0,0.0,26.0,WAT,1.0,0.0,27.0,CMW,1.0,0.0,28.0
3459,AUT,,Lisa Lackner,,,Women,1982.0,,,,,,,,,,,,,,NOE,1.0,0.0,34.0,,,,,,,,,,,,,,,,
3507,MRI,,Kimberly Le Court de Billot,,,Women,1996.0,,,,,,,,,,,,,,BPD,1.0,0.0,20.0,,,,,,,,,,,,,,,,
3537,ESP,,Naia Leonet Irureta,,,Women,1997.0,,,,,,,,,,,,,,BPD,1.0,0.0,19.0,BDP,1.0,0.0,20.0,XYZ,1.0,0.0,21.0,,,,,,,,
3533,ESP,,Elisabet Llaber Ferrer,,,Women,1997.0,,,,,,,,,,,,,,LTK,1.0,0.0,19.0,LTK,1.0,0.0,20.0,XYZ,1.0,0.0,21.0,,,,,,,,
3492,LUX,,Elise Maes,,,Women,1992.0,,,,,,,,,,,,,,NOE,1.0,0.0,24.0,WNT,1.0,15.0,25.0,WNT,1.0,0.0,26.0,ASC,1.0,0.0,27.0,TOR,1.0,0.0,28.0
